[pagerank] reading airports from data/airports.txt
[pagerank] read 5740 aiports with IATA code
[pagerank] reading routes from data/routes.txt
[pagerank] read 68292 routes with IATA codes
[pagerank] computing pagerank
[pagerank] printing pagerank results: (pagerank, airport name)
(0.00041130945313053456 : Jacksonville Intl, United States)
(0.00041006584110854293 : Jose Maria Cordova, Colombia)
(0.00040812442173835436 : Ouagadougou, Burkina Faso)
(0.00040769408552880605 : Prince Mohammad Bin Abdulaziz, Saudi Arabia)
(0.00040667084435484075 : Nurnberg, Germany)
(0.00040644803058290655 : Lech Walesa, Poland)
(0.0004054397351785383 : Dyce, United Kingdom)
(0.00040331737869083383 : Souda, Greece)
(0.00040017358154215203 : Bandar Abbass Intl, Iran)
(0.00040015620908160146 : Southampton, United Kingdom)
(0.00039997410154148945 : Olaya Herrera, Colombia)
(0.00039842762165391305 : Sondre Stromfjord, Greenland)
(0.0003983716236426183 : Louisville International Airport, United States)
(0.0003981834509361217 : Will Rogers World, United States)
(0.00039765083868791305 : La Aurora, Guatemala)
(0.00039729603228608803 : Irkutsk, Russia)
(0.000396778910496139 : Wuxi Airport, China)
(0.00039656110049735146 : Maputo, Mozambique)
(0.00039513037341204466 : Governador Jorge Teixeira De Oliveira, Brazil)
(0.0003943498628833976 : Sharm El Sheikh Intl, Egypt)
(0.00039321259970984075 : Neuenland, Germany)
(0.00039264584541572056 : Pampulha Carlos Drummond De Andrade, Brazil)
(0.00039051485264252116 : Edward G Pitka Sr, United States)
(0.00038436669649153933 : Thiruvananthapuram Intl, India)
(0.00038335867400394276 : Wattay Intl, Laos)
(0.00038309609157815986 : Licenciado Gustavo Diaz Ordaz Intl, Mexico)
(0.00038206195944900733 : Bradley Intl, United States)
(0.00038081587803954185 : Tokua Airport, Papua New Guinea)
(0.0003806851889920521 : Zagreb, Croatia)
(0.00037968790606909673 : Skavsta, Sweden)
(0.00037851923061622334 : Goiabeiras, Brazil)
(0.00037819795648975907 : Kurumoch, Russia)
(0.00037744602125389885 : Providenciales, Turks and Caicos Islands)
(0.00037743025425729414 : Kazan, Russia)
(0.0003774288727555292 : Cardiff, United Kingdom)
(0.00037704786594730554 : St Petersburg Clearwater Intl, United States)
(0.0003761070891103115 : Torp, Norway)
(0.0003758260896302735 : Mount Hagen, Papua New Guinea)
(0.0003756471237233632 : Narsarsuaq, Greenland)
(0.0003755854126472308 : Sam Ratulangi, Indonesia)
(0.00037413471526037104 : Bodrum - Milas, Turkey)
(0.00037013893303397354 : Pashkovskiy, Russia)
(0.0003701074569055996 : Firenze, Italy)
(0.0003698810980342934 : Siem Reap, Cambodia)
(0.00036881245366036946 : Santarem, Brazil)
(0.0003672677344800469 : Piarco, Trinidad and Tobago)
(0.00036700233298128074 : Durban Intl, South Africa)
(0.00036682602330285644 : St Denis Gillot, Reunion)
(0.00036645465625643277 : St Johns Intl, Canada)
(0.0003663002311880414 : Grantley Adams Intl, Barbados)
(0.0003661858966937775 : Sungshan, Taiwan)
(0.0003657478389632046 : Cambridge Bay, Canada)
(0.0003656266979972788 : Danang Intl, Vietnam)
(0.00036464408187500245 : Campo Grande, Brazil)
(0.00036419809134878166 : Nadzab, Papua New Guinea)
(0.000363225018437027 : Es Senia, Algeria)
